Id	Name	Type	Level	Hp	AttackPower	MoveSpeed	AttackSpeed	Range	Skill1	Skill1Id	Skill2	Skill2Id
2111	기사 Lv1	1	1	300	20	2	0.8	3				
2122	기사 Lv2	1	2	360	25	2	0.9	3				
2133	기사 Lv3	1	3	440	32	2	1	3	돌진베기	4111		
2144	기사 Lv4	1	4	540	40	2	1.05	3				
2155	기사 Lv5	1	5	670	50	2	1.1	3				
2166	기사 Lv6	1	6	820	62	2	1.15	3			방패 밀쳐내기	4112
2217	궁사 Lv1	2	1	220	16	2	1	6				
2228	궁사 Lv2	2	2	270	20	2	1.05	6				
2239	궁사 Lv3	2	3	330	25	2	1.1	6	관통 사격	4113		
22410	궁사 Lv4	2	4	400	31	2	1.15	6				
22511	궁사 Lv5	2	5	490	38	2	1.2	6				
22612	궁사 Lv6	2	6	600	47	2	1.25	6			속사	4234
23113	마법사 Lv1	3	1	200	18	2	0.9	8				
23214	마법사 Lv2	3	2	250	22	2	0.95	8				
23315	마법사 Lv3	3	3	310	27	2	1	8	화염구	4145		
23416	마법사 Lv4	3	4	380	33	2	1.05	8				
23517	마법사 Lv5	3	5	470	40	2	1.1	8				
23618	마법사 Lv6	3	6	580	48	2	1.15	8			서리구슬	4346
