Id	Name	Type	Target	Value	Duration	Cooldown
4111	돌진베기	1	1	1.5	0	5
4112	방패 밀쳐내기	1	1	3	0	10
4113	관통 사격	1	1	1.3	0	5
4234	포커스	2	3	0.5	5	10
4145	화염구	1	4	1.5	0	5
4346	디버프 오라	3	4	0.5	5	10
4117	샌드 토스	1	1	1.25	0	5
4348	저칼로리	3	4	0.5	5	15
4119	알리오 올리오	1	1	1.5	0	5
41110	미트볼 폭탄	1	1	4	0	10
42211	계란 고명	2	2	0.3	5	10
41112	면치기 회오리	1	1	3	0	10
41413	주스 스플래시	1	4	1.2	0	10
42314	제로 칼로리	2	3	0.5	5	15
43415	차가운 한 잔	3	4	0.3	5	5
41116	더블샷	1	1	3	0	15
41117	머핀 크럼블	1	1	1.2	0	5
42318	혈당 스파이크	2	3	0.4	8	15
41119	BBQ 꼬챙이 관통	1	1	1.25	0	5
42220	단백질 샤워	2	2	0.5	5	15
41421	카레 범벅	1	4	1.2	0	5
42322	든든한 한끼	2	3	0.4	8	15
41123	초밥 회전 던지기	1	1	1.5	0	5
43424	와사비 범벅	3	4	0.3	5	15
