Id	Name	"Type
"	Combo_type	Level	 NextId	Upgradeable	UpgradeCost	Hp	AttackPower	AttackSpeed	Range	Skill1	SkillId	Skill2	Skill2Id	"Summonprobability
"	ResellPrice	Icon
11211	Lv.1 샌드위치포탑	2	1	1	11222	1	30	1320	18	0.95	6					2.72	12	sandwichLV1
11222	Lv.2 샌드위치포탑	2	1	2	11233	1	36	1560	22	1	6					2.44	14	sandwichLV2
11233	Lv.3 샌드위치포탑	2	1	3	11244	1	43	1860	26	1.05	6	샌드 토스	4117			1.96	17	sandwichLV3
11244	Lv.4샌드위치포탑	2	1	4	11255	1	52	2220	31	1.1	6					1.6	21	sandwichLV4
11255	Lv.5샌드위치포탑	2	1	5	11266	1	62	2640	37	1.15	6					1.3	25	sandwichLV5
11266	Lv.6 샌드위치포탑	2	1	6	0	0	0	3120	44	1.2	6			저칼로리	4348	1.1	40	sandwichLV6
12117	Lv.1 파스타포탑	1	2	1	12128	1	30	1800	20	0.85	3					2.72	12	PastaLv1
12128	Lv.2 파스타포탑	1	2	2	12139	1	36	2100	24	0.9	3					2.44	14	PastaLv2
12139	Lv.3 파스타포탑	1	2	3	121410	1	43	2460	28	0.95	3	알리오 올리오	4119			1.96	17	PastaLv3
121410	Lv.4 파스타포탑	1	2	4	121511	1	52	2880	33	1	3					1.6	21	PastaLv4
121511	Lv.5 파스타포탑	1	2	5	121612	1	62	3360	39	1.05	3					1.3	25	PastaLv5
121612	Lv.6 파스타포탑	1	2	6	0	0	0	3900	46	1.1	3			미트볼 폭탄	41110	1.1	40	PastaLv6
131113	Lv.1 라멘포탑	1	3	1	131214	1	30	1800	20	0.85	3					2.72	12	RamenLv1
131214	Lv.2 라멘포탑	1	3	2	131315	1	36	2100	24	0.9	3					2.44	14	RamenLv2
131315	Lv.3 라멘포탑	1	3	3	131416	1	43	2460	28	0.95	3	계란 고명	42211			1.96	17	RamenLv3
131416	Lv.4 라멘포탑	1	3	4	131517	1	52	2880	33	1	3					1.6	21	RamenLv4
131517	Lv.5 라멘포탑	1	3	5	131618	1	62	3360	39	1.05	3					1.3	25	RamenLv5
131618	Lv.6 라멘포탑	1	3	6	0	0	0	3900	46	1.1	3			면치기 회오리	41112	1.1	40	RamenLv6
143119	Lv.1 주스포탑	3	4	1	143220	1	30	1200	19	0.95	8					2.72	12	JuiceLv1
143220	Lv.2 주스포탑	3	4	2	143321	1	36	1440	23	1	8					2.44	14	JuiceLv2
143321	Lv.3 주스포탑	3	4	3	143422	1	43	1740	27	1.05	8	주스 스플래시	41413			1.96	17	JuiceLv3
143422	Lv.4 주스포탑	3	4	4	143523	1	52	2100	32	1.1	8					1.6	21	JuiceLv4
143523	Lv.5 주스포탑	3	4	5	143624	1	62	2520	38	1.15	8					1.3	25	JuiceLv5
143624	Lv.6 주스포탑	3	4	6	0	0	0	3000	45	1.2	8			제로 칼로리	42314	1.1	40	JuiceLv6
153125	Lv.1 커피포탑	3	5	1	153226	1	30	1200	19	0.95	8					2.72	12	CoffeeLv1
153226	Lv.2 커피포탑	3	5	2	153327	1	36	1440	23	1	8					2.44	14	CoffeeLv2
153327	Lv.3 커피포탑	3	5	3	153428	1	43	1740	27	1.05	8	차가운 한 잔	43415			1.96	17	CoffeeLv3
153428	Lv.4 커피포탑	3	5	4	153529	1	52	2100	32	1.1	8					1.6	21	CoffeeLv4
153529	Lv.5 커피포탑	3	5	5	153630	1	62	2520	38	1.15	8					1.3	25	CoffeeLv5
153630	Lv.6 커피포탑	3	5	6	0	0	0	3000	45	1.2	8			더블샷	41116	1.1	40	CoffeeLv6
162131	Lv.1 머핀포탑	2	6	1	162232	1	30	1320	18	0.95	6					2.72	12	muffinLv1
162232	Lv.2 머핀포탑	2	6	2	162333	1	36	1560	22	1	6					2.44	14	muffinLv2
162333	Lv.3 머핀포탑	2	6	3	162434	1	43	1860	26	1.05	6	머핀 크럼블	41117			1.96	17	muffinLv3
162434	Lv.4 머핀포탑	2	6	4	162535	1	52	2220	31	1.1	6					1.6	21	muffinLv4
162535	Lv.5 머핀포탑	2	6	5	162636	1	62	2640	37	1.15	6					1.3	25	muffinLv5
162636	Lv.6 머핀포탑	2	6	6	0	0	0	3120	44	1.2	6			혈당 스파이크	42318	1.1	40	muffinLv6
172137	Lv.1 BBQ포탑	2	7	1	172238	1	30	1320	18	0.95	6					2.72	12	BBQLv1
172238	Lv.2 BBQ포탑	2	7	2	172339	1	36	1560	22	1	6					2.44	14	BBQLv2
172339	Lv.3 BBQ포탑	2	7	3	172440	1	43	1860	26	1.05	6	BBQ 꼬챙이 관통	41119			1.96	17	BBQLv3
172440	Lv.4 BBQ포탑	2	7	4	172541	1	52	2220	31	1.1	6					1.6	21	BBQLv4
172541	Lv.5 BBQ포탑	2	7	5	172642	1	62	2640	37	1.15	6					1.3	25	BBQLv5
172642	Lv.6 BBQ포탑	2	7	6	0	0	0	3120	44	1.2	6			단백질 샤워	42220	1.1	40	BBQLv6
183143	Lv.1 카레포탑	3	8	1	183244	1	30	1200	19	0.95	8					2.72	12	CurryLv1
183244	Lv.2 카레포탑	3	8	2	183345	1	36	1440	23	1	8					2.44	14	CurryLv2
183345	Lv.3 카레포탑	3	8	3	183446	1	43	1740	27	1.05	8	카레 범벅	41421			1.96	17	CurryLv3
183446	Lv.4 카레포탑	3	8	4	183547	1	52	2100	32	1.1	8					1.6	21	CurryLv4
183547	Lv.5 카레포탑	3	8	5	183648	1	62	2520	38	1.15	8					1.3	25	CurryLv5
183648	Lv.6 카레포탑	3	8	6	0	0	0	3000	45	1.2	8			든든한 한끼	42322	1.1	40	CurryLv6
191149	Lv.1 초밥포탑	1	9	1	191250	1	30	1320	18	0.95	3					2.72	12	SushiLv1
191250	Lv.2 초밥포탑	1	9	2	191351	1	36	1560	22	1	3					2.44	14	SushiLv2
