waveId	enemyId	count
31	2111	5
31	2217	2
31	23113	1
32	2111	6
32	2217	2
32	23113	2
33	2111	7
33	2217	3
33	23113	2
34	2111	8
34	2217	4
34	23113	2
35	2111	9
35	2217	5
35	23113	2
36	2111	10
36	2217	5
36	23113	3
37	2111	12
37	2217	6
37	23113	4
38	2111	12
38	2217	6
38	23113	4
39	2111	12
39	2217	7
39	23113	5
310	2111	13
310	2217	7
310	23113	6
311	2111	13
311	2217	8
311	23113	7
312	2111	13
312	2217	9
312	23113	8
313	2111	14
313	2217	9
313	23113	9
314	2111	14
314	2217	9
314	23113	11
315	2111	15
315	2217	9
315	23113	12
